source,target,label
1,0,directs
2,0,directs
3,0,acts in
4,0,acts in
5,0,acts in
6,0,acts in
7,0,acts in
8,0,acts in
9,0,acts in
10,0,acts in
11,0,acts in
12,0,acts in
0,13,available in
0,14,available in
0,15,available in
0,16,available in
0,17,belongs in
0,18,belongs in
20,19,acts in
19,21,available in
19,22,belongs in
19,13,available in
24,23,acts in
25,23,acts in
26,23,acts in
27,23,acts in
28,23,acts in
29,23,acts in
30,23,acts in
31,23,acts in
32,23,acts in
33,23,acts in
34,23,acts in
35,23,acts in
23,36,belongs in
23,13,available in
24,23,acts in
35,23,acts in
23,36,belongs in
38,37,acts in
39,37,acts in
40,37,acts in
41,37,acts in
42,37,acts in
43,37,acts in
37,13,available in
37,18,belongs in
45,44,directs
46,44,acts in
47,44,acts in
48,44,acts in
49,44,acts in
50,44,acts in
51,44,acts in
52,44,acts in
53,44,acts in
54,44,acts in
55,44,acts in
56,44,acts in
57,44,acts in
59,58,acts in
60,58,acts in
61,58,acts in
62,58,acts in
63,58,acts in
58,64,available in
58,65,belongs in
58,66,belongs in
58,67,belongs in
58,13,available in
58,64,available in
69,68,directs
70,68,acts in
71,68,acts in
72,68,acts in
73,68,acts in
74,68,acts in
75,68,acts in
76,68,acts in
77,68,acts in
78,68,acts in
68,79,available in
68,80,available in
68,81,belongs in
68,82,belongs in
68,83,belongs in
68,22,belongs in
85,84,directs
86,84,directs
87,84,acts in
84,88,available in
30841,84,acts in
84,13,available in
89,90,belongs in
89,91,belongs in
89,13,available in
89,21,available in
89,83,belongs in
93,92,directs
94,92,acts in
95,92,acts in
96,92,acts in
97,92,acts in
98,92,acts in
99,92,acts in
100,92,acts in
101,92,acts in
102,92,acts in
103,92,acts in
104,92,acts in
92,105,available in
92,106,available in
92,107,belongs in
92,22,belongs in
109,108,directs
110,108,acts in
108,13,available in
108,21,available in
108,81,belongs in
108,107,belongs in
112,111,directs
113,111,acts in
114,111,acts in
115,111,acts in
116,111,acts in
117,111,acts in
118,111,acts in
119,111,acts in
120,111,acts in
111,121,available in
111,122,available in
111,123,belongs in
111,17,belongs in
125,124,acts in
126,124,acts in
127,124,acts in
124,17,belongs in
125,124,acts in
126,124,acts in
127,124,acts in
129,128,directs
130,128,directs
131,128,acts in
128,17,belongs in
125,128,acts in
126,128,acts in
129,128,directs
130,128,directs
131,128,acts in
132,17,belongs in
125,132,acts in
126,132,acts in
127,132,acts in
130,132,directs
133,17,belongs in
126,133,acts in
130,133,directs
131,133,acts in
135,134,acts in
134,17,belongs in
125,134,acts in
126,134,acts in
127,134,acts in
136,17,belongs in
125,136,acts in
126,136,acts in
127,136,acts in
129,136,directs
130,136,directs
137,122,available in
137,123,belongs in
139,138,directs
139,138,acts in
140,138,acts in
141,138,acts in
142,138,acts in
143,138,acts in
144,138,acts in
145,138,directs
145,138,acts in
146,138,acts in
147,138,acts in
148,138,acts in
149,138,acts in
138,150,available in
138,151,belongs in
138,152,belongs in
35285,13,available in
35285,18,belongs in
35285,152,belongs in
154,153,directs
154,153,acts in
155,153,directs
155,153,acts in
156,153,acts in
157,153,acts in
158,153,acts in
159,153,acts in
160,153,acts in
153,161,belongs in
153,18,belongs in
153,81,belongs in
153,107,belongs in
153,122,available in
153,150,available in
163,162,directs
164,162,acts in
165,162,acts in
166,162,acts in
167,162,acts in
168,162,acts in
169,162,acts in
170,162,acts in
171,162,acts in
162,13,available in
173,172,directs
172,174,available in
172,175,belongs in
172,13,available in
172,83,belongs in
113,172,acts in
177,176,directs
178,176,acts in
179,176,acts in
180,176,acts in
181,176,acts in
182,176,acts in
183,176,acts in
184,176,acts in
185,176,acts in
186,176,acts in
176,187,belongs in
176,13,available in
176,123,belongs in
176,152,belongs in
189,188,directs
190,188,acts in
191,188,acts in
192,188,acts in
193,188,acts in
194,188,acts in
195,188,acts in
196,188,acts in
188,13,available in
188,123,belongs in
188,152,belongs in
188,161,belongs in
198,197,directs
199,197,acts in
200,197,acts in
201,197,acts in
202,197,acts in
203,197,acts in
204,197,acts in
205,197,acts in
206,197,acts in
207,197,acts in
197,66,belongs in
209,208,acts in
210,208,acts in
211,208,acts in
212,208,acts in
213,208,acts in
214,208,acts in
215,208,acts in
216,208,acts in
217,208,acts in
208,218,belongs in
208,219,belongs in
208,175,belongs in
221,220,directs
220,222,available in
220,90,belongs in
223,81,belongs in
223,187,belongs in
225,224,directs
226,224,acts in
227,224,acts in
228,224,acts in
229,224,acts in
230,224,acts in
231,224,acts in
224,232,available in
224,13,available in
224,16,available in
224,17,belongs in
224,18,belongs in
224,80,available in
224,82,belongs in
234,233,directs
235,233,directs
236,233,acts in
237,233,acts in
238,233,acts in
239,233,acts in
240,233,acts in
241,233,acts in
233,13,available in
233,18,belongs in
233,161,belongs in
243,242,directs
244,242,acts in
245,242,acts in
246,242,acts in
247,242,acts in
248,242,acts in
249,242,acts in
250,242,acts in
251,242,acts in
252,242,acts in
253,242,acts in
254,242,acts in
242,13,available in
242,21,available in
242,81,belongs in
242,83,belongs in
242,122,available in
242,123,belongs in
256,255,directs
257,255,acts in
258,255,acts in
259,255,acts in
260,255,acts in
261,255,acts in
262,255,acts in
263,255,acts in
264,255,acts in
265,255,acts in
266,255,acts in
255,81,belongs in
255,122,available in
255,123,belongs in
255,150,available in
255,152,belongs in
268,267,directs
269,267,acts in
270,267,acts in
271,267,acts in
272,267,acts in
273,267,acts in
274,267,acts in
275,267,acts in
276,267,acts in
267,36,belongs in
267,219,belongs in
278,277,acts in
279,277,acts in
280,277,acts in
281,277,acts in
282,277,acts in
283,277,acts in
277,14,available in
277,81,belongs in
277,83,belongs in
277,123,belongs in
285,284,directs
286,284,acts in
287,284,acts in
288,284,acts in
289,284,acts in
290,284,acts in
291,284,acts in
292,284,acts in
293,284,acts in
294,284,acts in
295,284,acts in
284,18,belongs in
284,123,belongs in
284,152,belongs in
297,296,directs
298,296,acts in
299,296,acts in
300,296,acts in
301,296,acts in
302,296,acts in
303,296,acts in
304,296,acts in
305,296,acts in
296,14,available in
296,18,belongs in
296,81,belongs in
307,306,directs
308,306,acts in
309,306,acts in
310,306,acts in
311,306,acts in
312,306,acts in
313,306,acts in
306,18,belongs in
306,81,belongs in
306,161,belongs in
315,314,directs
316,314,acts in
317,314,acts in
318,314,acts in
319,314,acts in
320,314,acts in
321,314,acts in
322,314,acts in
323,314,acts in
314,66,belongs in
314,150,available in
325,324,acts in
326,324,acts in
327,324,acts in
328,324,acts in
329,324,acts in
330,324,acts in
324,331,belongs in
324,332,belongs in
324,13,available in
324,18,belongs in
324,107,belongs in
324,152,belongs in
334,333,directs
335,333,directs
336,333,acts in
337,333,acts in
338,333,acts in
339,333,acts in
340,333,acts in
341,333,acts in
342,333,acts in
343,333,acts in
344,333,acts in
345,333,acts in
21047,333,acts in
333,14,available in
333,18,belongs in
333,81,belongs in
333,123,belongs in
347,346,directs
348,346,acts in
349,346,acts in
350,346,acts in
351,346,acts in
352,346,acts in
353,346,acts in
354,346,acts in
355,346,acts in
26683,346,acts in
346,21,available in
346,123,belongs in
346,152,belongs in
357,356,directs
358,356,directs
358,356,acts in
359,356,directs
359,356,acts in
360,356,acts in
361,356,acts in
362,356,acts in
363,356,acts in
364,356,acts in
365,356,acts in
366,356,acts in
356,21,available in
356,175,belongs in
368,367,directs
369,367,acts in
370,367,acts in
371,367,acts in
372,367,acts in
373,367,acts in
374,367,acts in
375,367,acts in
376,367,acts in
377,367,acts in
378,367,acts in
367,175,belongs in
380,379,acts in
381,379,acts in
382,379,acts in
383,379,acts in
30631,379,acts in
30632,379,acts in
379,13,available in
379,18,belongs in
379,80,available in
379,81,belongs in
379,161,belongs in
385,384,directs
386,384,acts in
387,384,acts in
388,384,acts in
389,384,acts in
390,384,acts in
391,384,acts in
392,384,acts in
393,384,acts in
394,384,acts in
395,384,acts in
384,18,belongs in
384,81,belongs in
384,161,belongs in
384,232,available in
397,396,directs
398,396,acts in
399,396,acts in
400,396,acts in
401,396,acts in
402,396,acts in
403,396,acts in
404,396,acts in
396,18,belongs in
396,81,belongs in
396,161,belongs in
396,232,available in
385,396,directs
387,396,acts in
392,396,acts in
406,405,acts in
407,405,acts in
408,405,acts in
405,81,belongs in
405,123,belongs in
405,161,belongs in
405,232,available in
386,405,acts in
410,409,directs
411,409,acts in
412,409,acts in
413,409,acts in
414,409,acts in
415,409,acts in
416,409,acts in
417,409,acts in
418,409,acts in
28583,81,belongs in
28583,187,belongs in
211,28583,acts in
217,28583,acts in
28583,232,available in
403,28583,acts in
410,28583,directs
420,419,directs
421,419,directs
422,419,directs
423,419,directs
424,419,acts in
425,419,acts in
426,419,acts in
427,419,acts in
428,419,acts in
429,419,acts in
430,419,acts in
419,81,belongs in
419,187,belongs in
419,232,available in
410,419,directs
422,419,directs
432,431,acts in
433,431,acts in
434,431,acts in
435,431,acts in
436,431,acts in
437,431,acts in
438,431,acts in
439,431,acts in
431,18,belongs in
431,81,belongs in
431,232,available in
389,431,acts in
424,431,acts in
441,440,directs
442,440,acts in
443,440,acts in
440,13,available in
440,18,belongs in
440,123,belongs in
445,444,directs
446,444,acts in
447,444,acts in
448,444,acts in
449,444,acts in
450,444,acts in
451,444,acts in
452,444,acts in
453,444,acts in
444,13,available in
444,22,belongs in
455,454,directs
456,454,acts in
454,13,available in
454,218,belongs in
454,219,belongs in
454,331,belongs in
458,457,acts in
459,457,acts in
460,457,acts in
461,457,acts in
462,457,acts in
463,457,acts in
457,81,belongs in
457,123,belongs in
457,152,belongs in
465,464,directs
466,464,acts in
467,464,acts in
468,464,acts in
469,464,acts in
470,464,acts in
471,464,acts in
472,464,acts in
473,464,acts in
464,474,available in
464,80,available in
464,187,belongs in
476,475,directs
477,475,acts in
478,475,acts in
479,475,acts in
480,475,acts in
481,475,acts in
475,13,available in
475,123,belongs in
475,161,belongs in
483,482,directs
484,482,acts in
485,482,acts in
486,482,acts in
487,482,acts in
482,14,available in
482,18,belongs in
482,81,belongs in
482,123,belongs in
489,488,directs
490,488,acts in
491,488,acts in
492,488,acts in
493,488,acts in
494,488,acts in
495,488,acts in
488,13,available in
488,82,belongs in
488,107,belongs in
497,496,directs
498,496,acts in
499,496,acts in
500,496,acts in
501,496,acts in
502,496,acts in
503,496,acts in
504,496,acts in
505,496,acts in
506,496,acts in
507,496,acts in
508,496,acts in
509,496,acts in
510,496,acts in
511,496,acts in
512,496,acts in
513,496,acts in
26760,496,acts in
496,18,belongs in
496,21,available in
496,81,belongs in
496,150,available in
496,161,belongs in
167,496,acts in
515,514,directs
516,514,acts in
517,514,acts in
518,514,acts in
519,514,acts in
520,514,acts in
521,514,acts in
522,514,acts in
523,514,acts in
524,514,acts in
525,514,acts in
526,514,acts in
514,13,available in
514,65,belongs in
514,331,belongs in
528,527,acts in
529,527,acts in
530,527,acts in
531,527,acts in
532,527,acts in
533,527,acts in
534,527,acts in
527,535,belongs in
527,21,available in
527,22,belongs in
537,536,directs
538,536,acts in
536,13,available in
536,219,belongs in
540,539,acts in
541,539,acts in
542,539,acts in
539,13,available in
539,36,belongs in
544,543,acts in
545,543,acts in
546,543,acts in
547,543,acts in
548,543,acts in
549,543,acts in
550,543,acts in
543,13,available in
543,17,belongs in
543,21,available in
543,123,belongs in
236,543,acts in
340,543,acts in
552,551,directs
553,551,acts in
554,551,acts in
555,551,acts in
556,551,acts in
557,551,acts in
558,551,acts in
559,551,acts in
560,551,acts in
27527,551,acts in
551,13,available in
551,90,belongs in
561,13,available in
561,90,belongs in
562,13,available in
562,90,belongs in
563,13,available in
563,90,belongs in
564,13,available in
564,36,belongs in
564,219,belongs in
566,565,acts in
567,565,acts in
568,565,acts in
19782,565,acts in
565,15,available in
565,81,belongs in
565,123,belongs in
570,569,directs
571,569,acts in
572,569,acts in
573,569,acts in
574,569,acts in
575,569,acts in
576,569,acts in
577,569,acts in
578,569,acts in
579,569,acts in
580,569,acts in
569,21,available in
569,66,belongs in
569,90,belongs in
581,582,belongs in
581,13,available in
581,105,available in
581,175,belongs in
584,583,directs
585,583,directs
583,66,belongs in
583,218,belongs in
583,331,belongs in
587,586,acts in
588,586,acts in
589,586,acts in
590,586,acts in
591,586,acts in
592,586,acts in
593,586,acts in
594,586,acts in
595,586,acts in
596,586,acts in
36373,13,available in
36373,21,available in
36373,107,belongs in
598,597,directs
599,597,acts in
600,597,acts in
601,597,acts in
602,597,acts in
603,597,acts in
604,597,acts in
605,597,acts in
597,13,available in
597,81,belongs in
597,107,belongs in
607,606,directs
607,606,acts in
608,606,acts in
609,606,directs
609,606,acts in
610,606,acts in
611,606,acts in
612,606,acts in
613,606,acts in
614,606,acts in
615,606,acts in
616,606,acts in
606,617,available in
606,81,belongs in
606,123,belongs in
606,152,belongs in
619,618,directs
620,618,acts in
621,618,acts in
622,618,acts in
623,618,acts in
624,618,acts in
625,618,acts in
626,618,acts in
627,618,acts in
628,618,acts in
629,618,acts in
630,618,acts in
618,631,available in
618,13,available in
618,83,belongs in
618,187,belongs in
633,632,directs
634,632,acts in
635,632,acts in
636,632,acts in
637,632,acts in
638,632,acts in
632,13,available in
632,175,belongs in
640,639,directs
639,66,belongs in
639,219,belongs in
639,331,belongs in
642,641,acts in
643,641,acts in
644,641,acts in
645,641,acts in
641,13,available in
641,123,belongs in
641,161,belongs in
647,646,directs
648,646,acts in
649,646,acts in
650,646,acts in
651,646,acts in
652,646,acts in
653,646,acts in
654,646,acts in
646,81,belongs in
646,175,belongs in
656,655,directs
655,21,available in
655,66,belongs in
655,90,belongs in
655,582,belongs in
658,657,acts in
657,66,belongs in
657,331,belongs in
660,659,acts in
661,659,acts in
662,659,acts in
663,659,acts in
664,659,acts in
665,659,acts in
659,13,available in
659,17,belongs in
667,666,directs
668,666,acts in
669,666,acts in
670,666,acts in
671,666,acts in
672,666,acts in
673,666,acts in
674,666,acts in
666,675,belongs in
666,81,belongs in
666,175,belongs in
677,676,directs
676,81,belongs in
676,83,belongs in
676,105,available in
676,121,available in
676,122,available in
676,150,available in
679,678,directs
680,678,acts in
681,678,acts in
682,678,acts in
683,678,acts in
684,678,acts in
685,678,acts in
686,678,acts in
687,678,acts in
678,688,available in
8846,678,directs
678,81,belongs in
678,123,belongs in
677,678,directs
690,689,acts in
691,689,acts in
692,689,acts in
693,689,acts in
694,689,acts in
695,689,acts in
696,689,acts in
697,689,acts in
698,689,acts in
689,81,belongs in
689,123,belongs in
700,699,directs
701,699,acts in
702,699,acts in
703,699,acts in
704,699,acts in
705,699,acts in
706,699,acts in
707,699,acts in
708,699,acts in
699,709,available in
699,16,available in
699,81,belongs in
699,82,belongs in
699,107,belongs in
711,710,directs
712,710,acts in
713,710,acts in
714,710,acts in
715,710,acts in
716,710,acts in
717,710,acts in
718,710,acts in
719,710,acts in
720,710,acts in
710,13,available in
710,107,belongs in
710,123,belongs in
722,721,directs
723,721,acts in
724,721,acts in
725,721,acts in
726,721,acts in
727,721,acts in
728,721,acts in
729,721,acts in
730,721,acts in
731,721,acts in
25335,721,acts in
721,13,available in
721,175,belongs in
733,732,directs
732,13,available in
732,66,belongs in
732,67,belongs in
734,735,belongs in
734,18,belongs in
734,81,belongs in
734,161,belongs in
704,734,acts in
734,709,available in
737,736,directs
737,736,acts in
738,736,directs
738,736,acts in
739,736,acts in
740,736,acts in
741,736,acts in
742,736,acts in
743,736,acts in
744,736,acts in
745,736,acts in
746,736,acts in
747,736,acts in
736,81,belongs in
736,187,belongs in
706,736,acts in
736,709,available in
749,748,directs
750,748,acts in
751,748,acts in
752,748,acts in
753,748,acts in
754,748,acts in
755,748,acts in
756,748,acts in
757,748,acts in
758,748,acts in
748,81,belongs in
748,123,belongs in
748,161,belongs in
701,748,acts in
704,748,acts in
748,709,available in
760,759,directs
761,759,acts in
762,759,acts in
763,759,acts in
764,759,acts in
765,759,acts in
759,64,available in
759,81,belongs in
759,175,belongs in
767,766,directs
768,766,directs
766,21,available in
766,175,belongs in
770,769,directs
769,771,available in
769,14,available in
769,66,belongs in
769,331,belongs in
773,772,acts in
774,772,acts in
775,772,acts in
776,772,acts in
777,772,acts in
