node_id,node_type,label,type,date_added,release_year,rating,duration,description
0,show,Norm of the North: King Sized Adventure,Movie,,2019,TV-PG,90 min,"Before planning an awesome wedding for his grandfather, a polar bear king must take back a stolen artifact from an evil archaeologist first."
1,person,Richard Finn,director,,,,,
2,person,Tim Maltby,director,,,,,
3,person,Alan Marriott,cast,,,,,
4,person,Andrew Toth,cast,,,,,
5,person,Brian Dobson,cast,,,,,
6,person,Cole Howard,cast,,,,,
7,person,Jennifer Cameron,cast,,,,,
8,person,Jonathan Holmes,cast,,,,,
9,person,Lee Tockar,cast,,,,,
10,person,Lisa Durupt,cast,,,,,
11,person,Maya Kay,cast,,,,,
12,person,Michael Dobson,cast,,,,,
13,country,United States,,,,,,
14,country,India,,,,,,
15,country,South Korea,,,,,,
16,country,China,,,,,,
17,category,Children & Family Movies,,,,,,
18,category,Comedies,,,,,,
19,show,Jandino: Whatever it Takes,Movie,,2016,TV-MA,94 min,"Jandino Asporaat riffs on the challenges of raising kids and serenades the audience with a rousing rendition of ""Sex on Fire"" in his comedy show."
20,person,Jandino Asporaat,cast,,,,,
21,country,United Kingdom,,,,,,
22,category,Stand-Up Comedy,,,,,,
23,show,Transformers Prime,TV Show,,2013,TV-Y7-FV,1 Season,"With the help of three human allies, the Autobots once again protect Earth from the onslaught of the Decepticons and their leader, Megatron."
24,person,Peter Cullen,cast,,,,,
25,person,Sumalee Montano,cast,,,,,
26,person,Frank Welker,cast,,,,,
27,person,Jeffrey Combs,cast,,,,,
28,person,Kevin Michael Richardson,cast,,,,,
29,person,Tania Gunadi,cast,,,,,
30,person,Josh Keaton,cast,,,,,
31,person,Steve Blum,cast,,,,,
32,person,Andy Pessoa,cast,,,,,
33,person,Ernie Hudson,cast,,,,,
34,person,Daran Norris,cast,,,,,
35,person,Will Friedle,cast,,,,,
36,category,Kids' TV,,,,,,
37,show,Transformers: Robots in Disguise,TV Show,,2016,TV-Y7,1 Season,"When a prison ship crash unleashes hundreds of Decepticons on Earth, Bumblebee leads a new Autobot force to protect humankind."
38,person,Darren Criss,cast,,,,,
39,person,Constance Zimmer,cast,,,,,
40,person,Khary Payton,cast,,,,,
41,person,Mitchell Whitfield,cast,,,,,
42,person,Stuart Allan,cast,,,,,
43,person,Ted McGinley,cast,,,,,
44,show,#realityhigh,Movie,,2017,TV-14,99 min,"When nerdy high schooler Dani finally attracts the interest of her longtime crush, she lands in the cross hairs of his ex, a social media celebrity."
45,person,Fernando Lebrija,director,,,,,
46,person,Nesta Cooper,cast,,,,,
47,person,Kate Walsh,cast,,,,,
48,person,John Michael Higgins,cast,,,,,
49,person,Keith Powers,cast,,,,,
50,person,Alicia Sanz,cast,,,,,
51,person,Jake Borelli,cast,,,,,
52,person,Kid Ink,cast,,,,,
53,person,Yousef Erakat,cast,,,,,
54,person,Rebekah Graf,cast,,,,,
55,person,Anne Winters,cast,,,,,
56,person,Peter Gilroy,cast,,,,,
57,person,Patrick Davis,cast,,,,,
58,show,Apaches,TV Show,,2016,TV-MA,1 Season,A young journalist is forced into a life of crime to save his father and family in this series based on the novel by Miguel Sáez Carral.
59,person,Alberto Ammann,cast,,,,,
60,person,Eloy Azorín,cast,,,,,
61,person,Verónica Echegui,cast,,,,,
62,person,Lucía Jiménez,cast,,,,,
63,person,Claudia Traisac,cast,,,,,
64,country,Spain,,,,,,
65,category,Crime TV Shows,,,,,,
66,category,International TV Shows,,,,,,
67,category,Spanish-Language TV Shows,,,,,,
68,show,Automata,Movie,,2014,R,110 min,"In a dystopian future, an insurance adjuster for a tech company investigates a robot killed for violating protocol and discovers a global conspiracy."
69,person,Gabe Ibáñez,director,,,,,
70,person,Antonio Banderas,cast,,,,,
71,person,Dylan McDermott,cast,,,,,
72,person,Melanie Griffith,cast,,,,,
73,person,Birgitte Hjort Sørensen,cast,,,,,
74,person,Robert Forster,cast,,,,,
75,person,Christa Campbell,cast,,,,,
76,person,Tim McInnerny,cast,,,,,
77,person,Andy Nyman,cast,,,,,
78,person,David Ryall,cast,,,,,
79,country,Bulgaria,,,,,,
80,country,Canada,,,,,,
81,category,International Movies,,,,,,
82,category,Sci-Fi & Fantasy,,,,,,
83,category,Thrillers,,,,,,
84,show,Fabrizio Copano: Solo pienso en mi,Movie,,2017,TV-MA,60 min,"Fabrizio Copano takes audience participation to the next level in this stand-up set while reflecting on sperm banks, family WhatsApp groups and more."
85,person,Rodrigo Toro,director,,,,,
86,person,Francisco Schultz,director,,,,,
87,person,Fabrizio Copano,cast,,,,,
88,country,Chile,,,,,,
